asset,type,location,W4_terrain_risk,W7_centrality_rank,lake_hit,landslide_hit,debris_hit,notes
瑞祥社區活動中心,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
豐裡活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
鶴岡社區活動中心,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
瑞北社區活動中心,W3-shelter,花蓮縣瑞穗鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
八里灣基督長老教會,W3-shelter,花蓮縣豐濱鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
馬遠社區活動中心,W3-shelter,花蓮縣萬榮鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
馬遠國民小學,W3-shelter,花蓮縣萬榮鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
花東山琉璃禪寺,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
豐濱國中禮堂,W3-shelter,花蓮縣豐濱鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
大興國小,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
大興活動中心,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
東興部落原住民多功能活動中心,W3-shelter,花蓮縣豐濱鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
砂荖活動中心,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
新社國小二樓綜合教室,W3-shelter,花蓮縣豐濱鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
光復鄉立托兒所,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
西南活動中心,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
太巴塱國小,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
光復鄉公所,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
光復國中,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
東富國小,W3-shelter,花蓮縣光復鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
明利社區活動中心,W3-shelter,花蓮縣萬榮鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
磯崎村辦公處活動中心,W3-shelter,花蓮縣豐濱鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
萬榮鄉立幼兒園,W3-shelter,花蓮縣萬榮鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
萬榮社區活動中心,W3-shelter,花蓮縣萬榮鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
森榮里辦公處,W3-shelter,花蓮縣鳳林鎮,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
水璉活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
米棧活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
溪口活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
樹湖活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
西林社區活動中心,W3-shelter,花蓮縣萬榮鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
西林天主堂,W3-shelter,花蓮縣萬榮鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
月眉國小,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
月眉國小-米棧分校,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
壽豐活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
共和活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
壽豐鄉公所,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
文化中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
鹽寮活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
光榮活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
平和活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
池南活動中心,W3-shelter,花蓮縣壽豐鄉,high,N/A,N,N,N,Hualien City shelter — outside Guangfu zone
